address,point
sei1rk2julk7hx77uglmc6xjj96qvhxkujx932chm6,191.95
sei1rz0hd95ntjjnyz5p33p2x0j8ansm4fhw89q483,191.95
sei1xstau7anlhfcmcncn6ey4z0wg5y4ultjgeav6v,191.95
sei1e4yvuactk82e52xqms5c082l9qed65lxdj63h7,191.95
sei1ms4fpu96uulwseg0d4lrhr8pl0u6hraxsarjr6,191.95
sei1mgf02v4t6va0de5uhm78nanx8rcsphlmp7ganw,191.95
sei175qc7zz77jj2gt4d6uxfsghfl2rx83cwe37dr0,191.95
sei1z33ytmmx9jq0nzn52vtn4zsge70t8txvxulw5a,191.95
sei18mpdpnvet2se2zrgw69z620zkupskd0kyj5clc,191.95
sei1u9n4f7khvxfwduvvlywnlnct3fa0thaslc9gxd,191.95
sei1yy4rmc5x9j4f7tguqzteyuaj0dpsgx9853zw4z,191.95
sei16ulm9cxugex5mupl5k440mcfkehagle63hgeck,191.95
sei1zuvjjfgn6mu9l9n8m0ny2gp7j5yuv5tqjc2qlr,191.95
sei1rnmalymsf2nph9yl7n5lnkghf446jr379ltphq,191.95
sei1el9xupjqwnclpt4a7judnxgalgwdk94g7z4w04,191.95
sei1gs0std8adc7lelenfc2yj8zz7r54t8cpthu3ka,191.95
sei1q0pzetapy5087e5gamjpglq9xkqr6t9xzn2kpk,191.95
sei192jgk0qphk35klapvrmy2en5pjj22z9ham8p4f,191.95
sei19wd559mgz8kq2l6py6agapw2jq6ac03d74ffhj,191.95
sei14jsx8m5gvrknmt9g09m8lllv6ffm2ysfadmrze,191.95
sei1hjl5hyw7en9l0s2wghn9zllsvfu33awkrqaqax,191.95
sei1nvxqxq5z7wjxvgmdrdkfketqcwp2jnkfghmne7,191.95
sei19ks67cw26yfg2rthd5heeelfl3v33q4wgqvuga,191.95
sei13sf62czmyvjcuccdlqgmxtwqxpylcn0p5ywd6u,191.95
sei1p7n0uyvxfl8y7dr5duue590strg0t0kr2r2mrw,191.95
sei1yazke8asw0phy2m4krmrge63czhrrq9glvyms8,191.95
sei1c2cn3eedm3yhh0e2re0rz3ndr48zffsjdq22q8,191.95
sei1znmttax402rh5lumm247n8960cm6zzay33ntes,191.95
